"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8","Topic 9","Topic 10","Topic 11","Topic 12","Topic 13","Topic 14","Topic 15"
"1","govern","one","nation","man","peopl","great","must","can","upon","will","world","state","need","power","new"
"2","public","union","countri","year","spirit","thing","time","peopl","import","make","peac","law","industri","constitut","american"
"3","secur","govern","forc","first","liberti","call","generat","freedom","increas","now","nation","right","busi","execut","let"
"4","may","parti","right","day","countri","men","common","long","may","good","know","citizen","use","upon","america"
"5","without","polit","everi","hand","duti","mani","purpos","equal","race","america","free","constitut","commerc","may","chang"
"6","system","form","foreign","god","faith","children","respons","free","shall","believ","strength","shall","great","instrument","work"
"7","best","upon","interest","presid","confid","mean","face","prosper","proper","heart","strong","feder","progress","effect","nation"
"8","found","principl","respect","histori","everi","life","everi","men","possibl","work","hope","unit","pass","given","hope"
"9","present","other","among","citizen","support","live","futur","live","promis","action","unit","protect","resourc","legisl","old"
"10","experi","differ","well","earth","love","home","done","human","made","bring","effort","subject","cooper","might","togeth"
"11","interest","individu","maintain","moment","charact","care","come","help","condit","word","war","enforc","direct","control","friend"
"12","general","case","war","today","mind","find","danger","never","necessari","alway","seek","amend","labor","act","today"
"13","provid","anoth","ever","now","happi","land","problem","opportun","order","lead","way","justic","econom","author","faith"
"14","give","exist","intern","share","shall","wealth","task","knowledg","trade","noth","realiz","part","improv","principl","life"
"15","valu","whole","defens","fellow","fellowcitizen","reach","ideal","toward","elect","voic","democraci","congress","much","depart","renew"
"16","promot","concern","arm","yet","whose","women","civil","limit","communiti","speak","fear","within","rule","grant","say"
"17","money","major","honor","centuri","bless","energi","great","determin","feel","whether","last","servic","employ","offic","dream"
"18","far","produc","preserv","oath","may","famili","greater","truth","polici","greatest","continu","author","requir","measur","idea"
"19","independ","opinion","use","justic","servic","economi","courag","past","practic","cours","strengthen","question","product","relat","stand"
"20","pay","view","place","thank","much","million","meet","fail","south","choic","offer","administr","develop","influenc","side"
